BREAKDOWN,BREAKDOWN_GROUP_1,BREAKDOWN_GROUP_2,TOTAL_COST
Gender and Age Group,Female,75-79 years,10745
Gender and Age Group,Female,80-84 years,9670
Gender and Age Group,Female,85-89 years,5565
Gender and Age Group,Female,90-94 years,2180
Gender and Age Group,Female,95 years or older,380
Gender and Age Group,Male,0 years,3495
Gender and Age Group,Male,01-04 years,5480
Gender and Age Group,Male,05-09 years,5145
Gender and Age Group,Male,10-14 years,3980
Gender and Age Group,Male,15-19 years,3410
Gender and Age Group,Male,20-24 years,2910
Gender and Age Group,Male,25-29 years,3110
Gender and Age Group,Male,30-34 years,3635
Gender and Age Group,Male,35-39 years,4120
Gender and Age Group,Male,40-44 years,4690
Gender and Age Group,Male,45-49 years,6095
Gender and Age Group,Male,50-54 years,7580
Gender and Age Group,Male,55-59 years,8990
Gender and Age Group,Male,60-64 years,9325
Gender and Age Group,Male,65-69 years,10820
Gender and Age Group,Male,70-74 years,12075
Gender and Age Group,Male,75-79 years,11265
Gender and Age Group,Male,80-84 years,8920
Gender and Age Group,Male,85-89 years,4700
Gender and Age Group,Male,90-94 years,1365
Gender and Age Group,Male,95 years or older,330
Gender and Age Group,Female,0 years,570613
Gender and Age Group,Female,01-04 years,628935
Gender and Age Group,Female,05-09 years,594337
Gender and Age Group,Female,10-14 years,581832
Gender and Age Group,Female,15-19 years,1027170
Gender and Age Group,Female,20-24 years,1576447
Gender and Age Group,Female,25-29 years,2254277
Gender and Age Group,Female,30-34 years,2182000
Gender and Age Group,Female,35-39 years,1742234
Gender and Age Group,Female,40-44 years,1241831
Gender and Age Group,Female,45-49 years,1463421
Gender and Age Group,Female,50-54 years,1527152
Gender and Age Group,Female,55-59 years,1456832
Gender and Age Group,Female,60-64 years,1321309
Gender and Age Group,Female,65-69 years,1256296
Gender and Age Group,Female,70-74 years,1263365
Gender and Age Group,Female,75-79 years,1230181
Gender and Age Group,Female,80-84 years,972973
Gender and Age Group,Female,85-89 years,540269
Gender and Age Group,Female,90-94 years,201195
Gender and Age Group,Female,95 years or older,34702
Gender and Age Group,Female,Unknown,243
Gender and Age Group,Male,0 years,666513
Gender and Age Group,Male,01-04 years,846909
Gender and Age Group,Male,05-09 years,650431
Gender and Age Group,Male,10-14 years,565944
Gender and Age Group,Male,15-19 years,563838
Gender and Age Group,Male,20-24 years,422692
Gender and Age Group,Male,25-29 years,457652
Gender and Age Group,Male,30-34 years,487259
Gender and Age Group,Male,35-39 years,534482
Gender and Age Group,Male,40-44 years,586539
Gender and Age Group,Male,45-49 years,785667
Gender and Age Group,Male,50-54 years,900323
Gender and Age Group,Male,55-59 years,1053450
Gender and Age Group,Male,60-64 years,1122504
Gender and Age Group,Male,65-69 years,1168066
Gender and Age Group,Male,70-74 years,1318809
Gender and Age Group,Male,75-79 years,1155132
Gender and Age Group,Male,80-84 years,864720
Gender and Age Group,Male,85-89 years,453991
Gender and Age Group,Male,90-94 years,118481
Gender and Age Group,Male,95 years or older,25681
Gender and Age Group,Female,0 years,1785
Gender and Age Group,Female,01-04 years,3385
Gender and Age Group,Female,05-09 years,5330
Gender and Age Group,Female,10-14 years,5770
Gender and Age Group,Female,15-19 years,7205
Gender and Age Group,Female,20-24 years,10110
Gender and Age Group,Female,25-29 years,16075
Gender and Age Group,Female,30-34 years,20050
Gender and Age Group,Female,35-39 years,15070
Gender and Age Group,Female,40-44 years,11345
Gender and Age Group,Female,45-49 years,13695
Gender and Age Group,Female,50-54 years,17095
Gender and Age Group,Female,55-59 years,19365
Gender and Age Group,Female,60-64 years,18550
Gender and Age Group,Female,65-69 years,19080
Gender and Age Group,Female,70-74 years,22710
Gender and Age Group,Female,75-79 years,19150
Gender and Age Group,Female,80-84 years,15110
Gender and Age Group,Female,85-89 years,9800
Gender and Age Group,Female,90-94 years,3760
Gender and Age Group,Female,95 years or older,760
Gender and Age Group,Male,0 years,2175
Gender and Age Group,Male,01-04 years,4910
Gender and Age Group,Male,05-09 years,7285
Gender and Age Group,Male,10-14 years,7000
Gender and Age Group,Male,15-19 years,5730
Gender and Age Group,Male,20-24 years,4045
Gender and Age Group,Male,25-29 years,4800
Gender and Age Group,Male,30-34 years,5400
Gender and Age Group,Male,35-39 years,5910
Gender and Age Group,Male,40-44 years,6605
Gender and Age Group,Male,45-49 years,8680
Gender and Age Group,Male,50-54 years,11375
Gender and Age Group,Male,55-59 years,15080
Gender and Age Group,Male,60-64 years,15890
Gender and Age Group,Male,65-69 years,17995
Gender and Age Group,Male,70-74 years,20245
Gender and Age Group,Male,75-79 years,16010
Gender and Age Group,Male,80-84 years,13535
Gender and Age Group,Male,85-89 years,7655
Gender and Age Group,Male,90-94 years,2505
Gender and Age Group,Male,95 years or older,390
Gender and Age Group,Female,0 years,312082
Gender and Age Group,Female,01-04 years,508107
Gender and Age Group,Female,05-09 years,836180
Gender and Age Group,Female,10-14 years,922483
Gender and Age Group,Female,15-19 years,941451
Gender and Age Group,Female,20-24 years,1244912
Gender and Age Group,Female,25-29 years,1989634
Gender and Age Group,Female,30-34 years,2421413
Gender and Age Group,Female,35-39 years,1853639
Gender and Age Group,Female,40-44 years,1470581
Gender and Age Group,Female,45-49 years,1788596
Gender and Age Group,Female,50-54 years,2175901
Gender and Age Group,Female,55-59 years,2320752
Gender and Age Group,Female,60-64 years,2280987
Gender and Age Group,Female,65-69 years,2336471
Gender and Age Group,Female,70-74 years,2849653
Gender and Age Group,Female,75-79 years,2510478
Gender and Age Group,Female,80-84 years,2015258
Gender and Age Group,Female,85-89 years,1367552
Gender and Age Group,Female,90-94 years,544204
Gender and Age Group,Female,95 years or older,122279
Gender and Age Group,Female,Unknown,279
Gender and Age Group,Male,0 years,401142
Gender and Age Group,Male,01-04 years,726998
Gender and Age Group,Male,05-09 years,1229472
Gender and Age Group,Male,10-14 years,1228770
Gender and Age Group,Male,15-19 years,810695
Gender and Age Group,Male,20-24 years,478784
Gender and Age Group,Male,25-29 years,568693
Gender and Age Group,Male,30-34 years,647811
Gender and Age Group,Male,35-39 years,720574
Gender and Age Group,Male,40-44 years,747676
Gender and Age Group,Male,45-49 years,1059556
Gender and Age Group,Male,50-54 years,1427675
Gender and Age Group,Male,55-59 years,1842160
Gender and Age Group,Male,60-64 years,1892718
Gender and Age Group,Male,65-69 years,2092224
Gender and Age Group,Male,70-74 years,2380038
Gender and Age Group,Male,75-79 years,1961753
Gender and Age Group,Male,80-84 years,1737389
Gender and Age Group,Male,85-89 years,1030774
Gender and Age Group,Male,90-94 years,346370
Gender and Age Group,Male,95 years or older,56884
Gender and Age Group,Male,Unknown,557
Gender and Age Group,Female,15-19 years,550
Gender and Age Group,Female,20-24 years,1100
Gender and Age Group,Female,25-29 years,1245
Gender and Age Group,Female,30-34 years,1295
Gender and Age Group,Female,35-39 years,1325
Gender and Age Group,Female,40-44 years,1115
Gender and Age Group,Female,45-49 years,1555
Gender and Age Group,Female,50-54 years,1705
Gender and Age Group,Female,55-59 years,2450
Gender and Age Group,Female,60-64 years,2595
Gender and Age Group,Female,65-69 years,2780
Gender and Age Group,Female,70-74 years,3375
Gender and Age Group,Female,75-79 years,2915
Gender and Age Group,Female,80-84 years,2390
Gender and Age Group,Female,85-89 years,1040
Gender and Age Group,Female,90-94 years,300
Gender and Age Group,Female,95 years or older,45
Gender and Age Group,Male,15-19 years,545
Gender and Age Group,Male,20-24 years,1205
Gender and Age Group,Male,25-29 years,1245
Gender and Age Group,Male,30-34 years,1525
Gender and Age Group,Male,35-39 years,1350
Gender and Age Group,Male,40-44 years,1325
Gender and Age Group,Male,45-49 years,1960
Gender and Age Group,Male,50-54 years,2745
Gender and Age Group,Male,55-59 years,4095
Gender and Age Group,Male,60-64 years,4475
Gender and Age Group,Male,65-69 years,5000
Gender and Age Group,Male,70-74 years,5800
Gender and Age Group,Male,75-79 years,4820
Gender and Age Group,Male,80-84 years,3475
Gender and Age Group,Male,85-89 years,1565
Gender and Age Group,Male,90-94 years,275
Gender and Age Group,Male,95 years or older,30
Gender and Age Group,Female,05-09 years,131
Gender and Age Group,Female,15-19 years,122637
Gender and Age Group,Female,20-24 years,236480
Gender and Age Group,Female,25-29 years,257022
Gender and Age Group,Female,30-34 years,281793
Gender and Age Group,Female,35-39 years,256033
Gender and Age Group,Female,40-44 years,198343
Gender and Age Group,Female,45-49 years,264946
Gender and Age Group,Female,50-54 years,275159
Gender and Age Group,Female,55-59 years,379757
Gender and Age Group,Female,60-64 years,411903
Gender and Age Group,Female,65-69 years,449368
Gender and Age Group,Female,70-74 years,549589
Gender and Age Group,Female,75-79 years,469482
Gender and Age Group,Female,80-84 years,355924
Gender and Age Group,Female,85-89 years,136338
Gender and Age Group,Female,90-94 years,38528
Gender and Age Group,Female,95 years or older,6947
Gender and Age Group,Male,10-14 years,30
Gender and Age Group,Male,15-19 years,124262
Gender and Age Group,Male,20-24 years,265979
Gender and Age Group,Male,25-29 years,265507
Gender and Age Group,Male,30-34 years,315430
Gender and Age Group,Male,35-39 years,258645
Gender and Age Group,Male,40-44 years,204056
Gender and Age Group,Male,45-49 years,322553
Gender and Age Group,Male,50-54 years,418306
Gender and Age Group,Male,55-59 years,625452
Gender and Age Group,Male,60-64 years,698017
Gender and Age Group,Male,65-69 years,828054
Gender and Age Group,Male,70-74 years,931815
Gender and Age Group,Male,75-79 years,757667
Gender and Age Group,Male,80-84 years,521019
Gender and Age Group,Male,85-89 years,217934
Gender and Age Group,Male,90-94 years,39009
Gender and Age Group,Male,95 years or older,3358
Gender and Age Group,Female,0 years,8800
Gender and Age Group,Female,01-04 years,19865
Gender and Age Group,Female,05-09 years,25020
Gender and Age Group,Female,10-14 years,26255
Gender and Age Group,Female,15-19 years,14440
Gender and Age Group,Female,20-24 years,270
Gender and Age Group,Female,25-29 years,60
Gender and Age Group,Female,30-34 years,40
Gender and Age Group,Female,35-39 years,25
Gender and Age Group,Female,40-44 years,25
Gender and Age Group,Female,50-54 years,10
Gender and Age Group,Female,55-59 years,15
Gender and Age Group,Male,0 years,11335
Gender and Age Group,Male,01-04 years,27920
Gender and Age Group,Male,05-09 years,32075
Gender and Age Group,Male,10-14 years,29060
Gender and Age Group,Male,15-19 years,13015
Gender and Age Group,Male,20-24 years,280
Gender and Age Group,Male,25-29 years,45
Gender and Age Group,Male,30-34 years,40
Gender and Age Group,Female,0 years,1490247
Gender and Age Group,Female,01-04 years,3636527
Gender and Age Group,Female,05-09 years,4855276
Gender and Age Group,Female,10-14 years,5468632
Gender and Age Group,Female,15-19 years,3064314
Gender and Age Group,Female,20-24 years,58971
Gender and Age Group,Female,25-29 years,17330
Gender and Age Group,Female,30-34 years,12973
Gender and Age Group,Female,35-39 years,6525
Gender and Age Group,Female,40-44 years,6848
Gender and Age Group,Female,45-49 years,1750
Gender and Age Group,Female,50-54 years,4892
Gender and Age Group,Female,55-59 years,7601
Gender and Age Group,Female,65-69 years,976
Gender and Age Group,Female,70-74 years,428
Gender and Age Group,Female,75-79 years,1179
Gender and Age Group,Male,0 years,1911332
Gender and Age Group,Male,01-04 years,5477777
Gender and Age Group,Male,05-09 years,6976798
Gender and Age Group,Male,10-14 years,6660255
Gender and Age Group,Male,15-19 years,3048481
Gender and Age Group,Male,20-24 years,68549
Gender and Age Group,Male,25-29 years,15650
Gender and Age Group,Male,30-34 years,17431
Gender and Age Group,Male,35-39 years,4853
Gender and Age Group,Male,40-44 years,3192
Gender and Age Group,Male,45-49 years,4687
Gender and Age Group,Male,50-54 years,499
Gender and Age Group,Male,60-64 years,305
Gender and Age Group,Female,0 years,1265
Gender and Age Group,Female,01-04 years,2985
Gender and Age Group,Female,05-09 years,3835
Gender and Age Group,Female,10-14 years,3565
Gender and Age Group,Female,15-19 years,4390
Gender and Age Group,Female,20-24 years,9495
Gender and Age Group,Female,25-29 years,17090
Gender and Age Group,Female,30-34 years,18355
Gender and Age Group,Female,35-39 years,12225
Gender and Age Group,Female,40-44 years,7035
Gender and Age Group,Female,45-49 years,7415
Gender and Age Group,Female,50-54 years,9425
Gender and Age Group,Female,55-59 years,10050
Gender and Age Group,Female,60-64 years,9640
Gender and Age Group,Female,65-69 years,10735
Gender and Age Group,Female,70-74 years,12980
Gender and Age Group,Female,75-79 years,11730
Gender and Age Group,Female,80-84 years,10080
Gender and Age Group,Female,85-89 years,6385
Gender and Age Group,Female,90-94 years,2790
Gender and Age Group,Female,95 years or older,585
Gender and Age Group,Male,0 years,1475
Gender and Age Group,Male,01-04 years,4445
Gender and Age Group,Male,05-09 years,5245
Gender and Age Group,Male,10-14 years,4875
Gender and Age Group,Male,15-19 years,3150
Gender and Age Group,Male,20-24 years,2215
Gender and Age Group,Male,25-29 years,2885
Gender and Age Group,Male,30-34 years,2980
Gender and Age Group,Male,35-39 years,3345
Gender and Age Group,Male,40-44 years,3830
Gender and Age Group,Male,45-49 years,5340
Gender and Age Group,Male,50-54 years,6785
Gender and Age Group,Male,55-59 years,8230
Gender and Age Group,Male,60-64 years,9055
Gender and Age Group,Male,65-69 years,10500
Gender and Age Group,Male,70-74 years,13435
Gender and Age Group,Male,75-79 years,11945
Gender and Age Group,Male,80-84 years,9500
Gender and Age Group,Male,85-89 years,5355
Gender and Age Group,Male,90-94 years,1865
Gender and Age Group,Male,95 years or older,360
Gender and Age Group,Female,0 years,400053
Gender and Age Group,Female,01-04 years,572623
Gender and Age Group,Female,05-09 years,795604
Gender and Age Group,Female,10-14 years,737194
Gender and Age Group,Female,15-19 years,634340
Gender and Age Group,Female,20-24 years,1160433
Gender and Age Group,Female,25-29 years,2077838
Gender and Age Group,Female,30-34 years,2251803
Gender and Age Group,Female,35-39 years,1572689
Gender and Age Group,Female,40-44 years,954680
Gender and Age Group,Female,45-49 years,1095822
Gender and Age Group,Female,50-54 years,1386020
Gender and Age Group,Female,55-59 years,1347503
Gender and Age Group,Female,60-64 years,1282486
Gender and Age Group,Female,65-69 years,1448194
Gender and Age Group,Female,70-74 years,1754694
Gender and Age Group,Female,75-79 years,1534459
