BREAKDOWN,BREAKDOWN_GROUP_1,BREAKDOWN_GROUP_2,TOTAL_COST
Gender and Age Group,Male,0 years,4486258
Gender and Age Group,Male,01-04 years,12030942
Gender and Age Group,Male,05-09 years,7960755
Gender and Age Group,Male,10-14 years,9178352
Gender and Age Group,Male,15-19 years,9348372
Gender and Age Group,Male,20-24 years,10440574
Gender and Age Group,Male,25-29 years,10520831
Gender and Age Group,Male,30-34 years,10435660
Gender and Age Group,Male,35-39 years,9859341
Gender and Age Group,Male,40-44 years,9141163
Gender and Age Group,Male,45-49 years,10280884
Gender and Age Group,Male,50-54 years,11565069
Gender and Age Group,Male,55-59 years,11637379
Gender and Age Group,Male,60-64 years,10869086
Gender and Age Group,Male,65-69 years,10925620
Gender and Age Group,Male,70-74 years,13520752
Gender and Age Group,Male,75-79 years,13035924
Gender and Age Group,Male,80-84 years,13429476
Gender and Age Group,Male,85-89 years,11038579
Gender and Age Group,Male,90-94 years,5810627
Gender and Age Group,Male,95 years or older,1691598
Gender and Age Group,Male,Unknown,21543
Gender and Age Group,Female,0 years,32975
Gender and Age Group,Female,01-04 years,80370
Gender and Age Group,Female,05-09 years,56345
Gender and Age Group,Female,10-14 years,63735
Gender and Age Group,Female,15-19 years,82015
Gender and Age Group,Female,20-24 years,100790
Gender and Age Group,Female,25-29 years,98000
Gender and Age Group,Female,30-34 years,89530
Gender and Age Group,Female,35-39 years,77200
Gender and Age Group,Female,40-44 years,64640
Gender and Age Group,Female,45-49 years,70920
Gender and Age Group,Female,50-54 years,76770
Gender and Age Group,Female,55-59 years,70755
Gender and Age Group,Female,60-64 years,60755
Gender and Age Group,Female,65-69 years,58070
Gender and Age Group,Female,70-74 years,69845
Gender and Age Group,Female,75-79 years,68975
Gender and Age Group,Female,80-84 years,70465
Gender and Age Group,Female,85-89 years,62350
Gender and Age Group,Female,90-94 years,37515
Gender and Age Group,Female,95 years or older,14350
Gender and Age Group,Male,0 years,42190
Gender and Age Group,Male,01-04 years,104365
Gender and Age Group,Male,05-09 years,67890
Gender and Age Group,Male,10-14 years,76495
Gender and Age Group,Male,15-19 years,71405
Gender and Age Group,Male,20-24 years,84680
Gender and Age Group,Male,25-29 years,85320
Gender and Age Group,Male,30-34 years,81300
Gender and Age Group,Male,35-39 years,74415
Gender and Age Group,Male,40-44 years,64960
Gender and Age Group,Male,45-49 years,70645
Gender and Age Group,Male,50-54 years,75290
Gender and Age Group,Male,55-59 years,71290
Gender and Age Group,Male,60-64 years,63680
Gender and Age Group,Male,65-69 years,60535
Gender and Age Group,Male,70-74 years,69960
Gender and Age Group,Male,75-79 years,65235
Gender and Age Group,Male,80-84 years,60880
Gender and Age Group,Male,85-89 years,45755
Gender and Age Group,Male,90-94 years,21625
Gender and Age Group,Male,95 years or older,5595
Gender and Age Group,Female,0 years,4375057
Gender and Age Group,Female,01-04 years,11568676
Gender and Age Group,Female,05-09 years,8036654
Gender and Age Group,Female,10-14 years,9427544
Gender and Age Group,Female,15-19 years,13251410
Gender and Age Group,Female,20-24 years,16635209
Gender and Age Group,Female,25-29 years,16387024
Gender and Age Group,Female,30-34 years,15234150
Gender and Age Group,Female,35-39 years,13337191
Gender and Age Group,Female,40-44 years,11442997
Gender and Age Group,Female,45-49 years,13001892
Gender and Age Group,Female,50-54 years,14403791
Gender and Age Group,Female,55-59 years,13832697
Gender and Age Group,Female,60-64 years,12434362
Gender and Age Group,Female,65-69 years,12656015
Gender and Age Group,Female,70-74 years,16289939
Gender and Age Group,Female,75-79 years,16953548
Gender and Age Group,Female,80-84 years,18372084
Gender and Age Group,Female,85-89 years,17357325
Gender and Age Group,Female,90-94 years,10858629
Gender and Age Group,Female,95 years or older,4183937
Gender and Age Group,Male,0 years,5824786
Gender and Age Group,Male,01-04 years,15134685
Gender and Age Group,Male,05-09 years,9770808
Gender and Age Group,Male,10-14 years,11551413
Gender and Age Group,Male,15-19 years,11824355
Gender and Age Group,Male,20-24 years,14296780
Gender and Age Group,Male,25-29 years,14588107
Gender and Age Group,Male,30-34 years,14221076
Gender and Age Group,Male,35-39 years,13175404
Gender and Age Group,Male,40-44 years,11774287
Gender and Age Group,Male,45-49 years,13193770
Gender and Age Group,Male,50-54 years,14651890
Gender and Age Group,Male,55-59 years,14430849
Gender and Age Group,Male,60-64 years,13598117
Gender and Age Group,Male,65-69 years,13773568
Gender and Age Group,Male,70-74 years,16685205
Gender and Age Group,Male,75-79 years,16489917
Gender and Age Group,Male,80-84 years,16055108
Gender and Age Group,Male,85-89 years,12476699
Gender and Age Group,Male,90-94 years,6132901
Gender and Age Group,Male,95 years or older,1597416
Gender and Age Group,Female,0 years,18750
Gender and Age Group,Female,01-04 years,48150
Gender and Age Group,Female,05-09 years,34285
Gender and Age Group,Female,10-14 years,39305
Gender and Age Group,Female,15-19 years,48340
Gender and Age Group,Female,20-24 years,57630
Gender and Age Group,Female,25-29 years,56510
Gender and Age Group,Female,30-34 years,51670
Gender and Age Group,Female,35-39 years,44950
Gender and Age Group,Female,40-44 years,38585
Gender and Age Group,Female,45-49 years,40415
Gender and Age Group,Female,50-54 years,42865
Gender and Age Group,Female,55-59 years,39730
Gender and Age Group,Female,60-64 years,33705
Gender and Age Group,Female,65-69 years,33070
Gender and Age Group,Female,70-74 years,40290
Gender and Age Group,Female,75-79 years,38415
Gender and Age Group,Female,80-84 years,39925
Gender and Age Group,Female,85-89 years,36285
Gender and Age Group,Female,90-94 years,22690
Gender and Age Group,Female,95 years or older,8610
Gender and Age Group,Female,Unknown,30
Gender and Age Group,Male,0 years,23425
Gender and Age Group,Male,01-04 years,62475
Gender and Age Group,Male,05-09 years,40220
Gender and Age Group,Male,10-14 years,46550
Gender and Age Group,Male,15-19 years,41565
Gender and Age Group,Male,20-24 years,45710
Gender and Age Group,Male,25-29 years,47010
Gender and Age Group,Male,30-34 years,44610
Gender and Age Group,Male,35-39 years,40600
Gender and Age Group,Male,40-44 years,37160
Gender and Age Group,Male,45-49 years,38950
Gender and Age Group,Male,50-54 years,41215
Gender and Age Group,Male,55-59 years,38380
Gender and Age Group,Male,60-64 years,34995
Gender and Age Group,Male,65-69 years,32765
Gender and Age Group,Male,70-74 years,39560
Gender and Age Group,Male,75-79 years,36740
Gender and Age Group,Male,80-84 years,34965
Gender and Age Group,Male,85-89 years,27760
Gender and Age Group,Male,90-94 years,13380
Gender and Age Group,Male,95 years or older,3705
Gender and Age Group,Male,Unknown,30
Gender and Age Group,Female,0 years,2447454
Gender and Age Group,Female,01-04 years,6594297
Gender and Age Group,Female,05-09 years,4792553
Gender and Age Group,Female,10-14 years,5705077
Gender and Age Group,Female,15-19 years,8644156
Gender and Age Group,Female,20-24 years,10917981
Gender and Age Group,Female,25-29 years,10769087
Gender and Age Group,Female,30-34 years,9884350
Gender and Age Group,Female,35-39 years,8709729
Gender and Age Group,Female,40-44 years,7604487
Gender and Age Group,Female,45-49 years,8333088
Gender and Age Group,Female,50-54 years,9152333
Gender and Age Group,Female,55-59 years,8533588
Gender and Age Group,Female,60-64 years,7536228
Gender and Age Group,Female,65-69 years,7906015
Gender and Age Group,Female,70-74 years,10094898
Gender and Age Group,Female,75-79 years,10208974
Gender and Age Group,Female,80-84 years,11290492
Gender and Age Group,Female,85-89 years,10933287
Gender and Age Group,Female,90-94 years,7152531
Gender and Age Group,Female,95 years or older,2776574
Gender and Age Group,Female,Unknown,1382
Gender and Age Group,Male,0 years,3064506
Gender and Age Group,Male,01-04 years,8599954
Gender and Age Group,Male,05-09 years,5688413
Gender and Age Group,Male,10-14 years,6873809
Gender and Age Group,Male,15-19 years,7375418
Gender and Age Group,Male,20-24 years,8548774
Gender and Age Group,Male,25-29 years,8800073
Gender and Age Group,Male,30-34 years,8536498
Gender and Age Group,Male,35-39 years,7823256
Gender and Age Group,Male,40-44 years,7491253
Gender and Age Group,Male,45-49 years,8054846
Gender and Age Group,Male,50-54 years,8979316
Gender and Age Group,Male,55-59 years,8632098
Gender and Age Group,Male,60-64 years,8267283
Gender and Age Group,Male,65-69 years,8540459
Gender and Age Group,Male,70-74 years,10632981
Gender and Age Group,Male,75-79 years,10073352
Gender and Age Group,Male,80-84 years,10095668
Gender and Age Group,Male,85-89 years,8378284
Gender and Age Group,Male,90-94 years,4151898
Gender and Age Group,Male,95 years or older,1219490
Gender and Age Group,Male,Unknown,1228
Gender and Age Group,Female,0 years,32585
Gender and Age Group,Female,01-04 years,79400
Gender and Age Group,Female,05-09 years,54125
Gender and Age Group,Female,10-14 years,60880
Gender and Age Group,Female,15-19 years,73495
Gender and Age Group,Female,20-24 years,94080
Gender and Age Group,Female,25-29 years,93305
Gender and Age Group,Female,30-34 years,86535
Gender and Age Group,Female,35-39 years,72875
Gender and Age Group,Female,40-44 years,59460
Gender and Age Group,Female,45-49 years,61475
Gender and Age Group,Female,50-54 years,64345
Gender and Age Group,Female,55-59 years,61080
Gender and Age Group,Female,60-64 years,51445
Gender and Age Group,Female,65-69 years,47555
Gender and Age Group,Female,70-74 years,53990
Gender and Age Group,Female,75-79 years,52230
Gender and Age Group,Female,80-84 years,51995
Gender and Age Group,Female,85-89 years,42270
Gender and Age Group,Female,90-94 years,23795
Gender and Age Group,Female,95 years or older,8500
Gender and Age Group,Female,Unknown,3890
Gender and Age Group,Male,0 years,41360
Gender and Age Group,Male,01-04 years,102810
Gender and Age Group,Male,05-09 years,64585
Gender and Age Group,Male,10-14 years,71220
Gender and Age Group,Male,15-19 years,62340
Gender and Age Group,Male,20-24 years,75640
Gender and Age Group,Male,25-29 years,79240
