code,description,sex,diagnosis_count,category
B99-B99,Other infectious and parasitic diseases,Female,10912,Certain infectious and parasitic diseases (A00–B99)
C00-C14,Malignant neoplasm of lip-oral cavity and pharynx,Female,9081,Neoplasms (C00–D48)
C15-C26,Malignant neoplasm of digestive organs,Female,139705,Neoplasms (C00–D48)
C30-C39,Malignant neoplasms of respiratory & intrathoracic organs,Female,65378,Neoplasms (C00–D48)
C40-C41,Malignant neoplasm of bone and articular cartilage,Female,3260,Neoplasms (C00–D48)
C43-C44,Malignant neoplasms of skin,Female,71896,Neoplasms (C00–D48)
C45-C49,Malignant neoplasms of mesothelial and soft tissue,Female,11436,Neoplasms (C00–D48)
C50-C50,Malignant neoplasm of breast,Female,262348,Neoplasms (C00–D48)
C51-C58,Malignant neoplasms of female genital organs,Female,81377,Neoplasms (C00–D48)
C60-C63,Malignant neoplasms of male genital organs,Female,19,Neoplasms (C00–D48)
C64-C68,Malignant neoplasms of urinary tract,Female,28998,Neoplasms (C00–D48)
C69-C72,"Malignant neoplasms of eye, brain & other parts of CNS",Female,12232,Neoplasms (C00–D48)
C73-C75,Malignant neoplasms of thyroid and other endocrine glands,Female,7800,Neoplasms (C00–D48)
C76-C80,"Malignant neoplasms of ill-defined, secondary and unspecified sites",Female,134672,Neoplasms (C00–D48)
C81-C96,"Malignant neoplasms of lymphoid, haematopoietic & rel. tiss.",Female,185275,Neoplasms (C00–D48)
C97-C97,Malignant neoplasms of independent (primary) multiple sites,Female,17786,Neoplasms (C00–D48)
D00-D09,In situ neoplasms,Female,22554,Neoplasms (C00–D48)
D10-D36,Benign neoplasms,Female,189589,Neoplasms (C00–D48)
D37-D48,Neoplasms of uncertain or unknown behaviour,Female,45644,Neoplasms (C00–D48)
D50-D53,Nutritional anaemias,Female,137205,Diseases of the blood and blood-forming organs (D50–D89)
D55-D59,Haemolytic anaemias,Female,31979,Diseases of the blood and blood-forming organs (D50–D89)
D60-D64,Aplastic and other anaemias,Female,63212,Diseases of the blood and blood-forming organs (D50–D89)
D65-D69,"Coagulation defects, purpura and other haemorrhagic conditions",Female,16085,Diseases of the blood and blood-forming organs (D50–D89)
D70-D77,Other diseases of blood and blood-forming organs,Female,10483,Diseases of the blood and blood-forming organs (D50–D89)
D80-D89,Certain disorders involving the immune mechanism,Female,13876,Diseases of the blood and blood-forming organs (D50–D89)
E00-E07,Disorders of thyroid gland,Female,16141,"Endocrine, nutritional and metabolic diseases (E00–E90)"
E10-E14,Diabetes Mellitus,Female,45260,"Endocrine, nutritional and metabolic diseases (E00–E90)"
E15-E16,Other disorders of glucose regulation and pancreatic internal secretion,Female,11918,"Endocrine, nutritional and metabolic diseases (E00–E90)"
E20-E35,Disorders of other endocrine glands,Female,22248,"Endocrine, nutritional and metabolic diseases (E00–E90)"
E40-E46,Malnutrition,Female,1726,"Endocrine, nutritional and metabolic diseases (E00–E90)"
E50-E64,Other nutritional deficiencies,Female,9686,"Endocrine, nutritional and metabolic diseases (E00–E90)"
E65-E68,Obesity and other hyperalimentation,Female,8543,"Endocrine, nutritional and metabolic diseases (E00–E90)"
E70-E90,Metabolic disorders,Female,134256,"Endocrine, nutritional and metabolic diseases (E00–E90)"
F00-F09,"Organic, including symptomatic, mental disorders",Female,50156,Mental and behavioural disorders (F00–F99)
F10-F19,Mental and behavioural disorders due to psychoactive subst.,Female,23312,Mental and behavioural disorders (F00–F99)
F20-F29,"Schizophrenia, schizotypal and delusional disorders",Female,9781,Mental and behavioural disorders (F00–F99)
F30-F39,Mood [affective] disorders,Female,9908,Mental and behavioural disorders (F00–F99)
F40-F48,"Neurotic, stress-related and somatoform disorders",Female,16504,Mental and behavioural disorders (F00–F99)
F50-F59,Behavioural syndromes associated with physiological disturbances and physical factors,Female,7245,Mental and behavioural disorders (F00–F99)
F60-F69,Disorders of adult personality and behaviour,Female,4583,Mental and behavioural disorders (F00–F99)
